edge_id,from,to,interaction_type,country,theme,source,effect,direct_or_indirect,bidirectional,interaction_summary,policy_tension,policy_strategic_objective_1,policy_strategic_objective_2,policy_specific_actions_1,policy_specific_actions_2,reference
P597,sdg01,sdg03,SDG-SDG,China,"Economy, Poverty & Equity",Objective,Align,Direct,TRUE,"Both policies aim to reduce the severity and frequency of humanitarian crises, a key driver of AMR.",Emergency response versus stewardship controls,"Social assistance and charity
Our bottom line is to protect the most vulnerable, expand social security coverage, and improve protection mechanisms to prevent anyone from being left behind. To this end, it is essential to build a sustainable, multi-tiered universal social security system with integrated urban and rural coverage, and with clearly defined rights and responsibilities for all actors involved. ","Public Security 
The institutional mechanisms for public security will be improved, building on the principle that the people and their lives are above everything else, to implement the accountability and regulation systems for public security, and secure the people’s lives.","The tiered and classified social assistance system will be perfected, with the focus on urban and rural recipients of minimum subsistence allowances, people in special difficulties, and low-income families, so as to form a comprehensive pattern of assistance. A sound basic living assistance system and the special assistance system for medical treatment, education, housing, employment, and disaster victims, will be established, based on dynamic adjustments to criteria for assistance and the list of aid recipients. Temporary relief policies and measures will be taken to strengthen the functions of emergency social relief. We will coordinate the urban and rural relief systems, gradually allowing applicants to apply for and receive relief from the local governments of their permanent residence. Active actions will be taken to provide service-oriented social assistance and boost the government procurement of social assistance services. Philanthropy will be encouraged. Fiscal and taxation incentive policies will be improved, and standards will be set for online charity platforms to better management lottery and public welfare funds","III. Biosafety risk prevention and control 
The system for biosafety risk prevention, control, and governance will be established to enhance national capacity of biosafety governance. The national systems for risk monitoring and early warning and for emergency plan on risk prevention and control concerning biosafety need improvements so as to release information in a unified manner for major biosafety incidents. Stronger prevention and control measures need to be taken for animal and plant epidemics and alien invasive species at ports. Overall planning for biosafety infrastructure will be made, including building a system of national biosafety data centers, and better developing and managing the system of high-level biosafety laboratories. Regulation on biosafety resources will be intensified by formulating and improving the catalog of human genetic resources and biological resources, and establishing a sound risk assessment mechanism of biotechnology research and development. The biosafety law will be put into practice. China will strengthen international cooperation on biosafety and take an active part in the development of international biosafety rules.",SDGs: The 14th Five-Year Plan (2021-2025) for National Economic and Social Development and Vision 2035 of the People's Republic of China
P598,sdg01,sdg03,SDG-SDG,China,"Economy, Poverty & Equity",Implementation,Independent,Direct,FALSE,"The social assistance measures (tiered relief systems, emergency social relief, philanthropy incentives) are managed through social welfare channels, whereas the biosafety risk prevention measures (monitoring systems, high-level labs, regulatory catalogues) are conducted under public security and health regulatory bodies.",Innovation incentives versus affordability,"Social assistance and charity
Our bottom line is to protect the most vulnerable, expand social security coverage, and improve protection mechanisms to prevent anyone from being left behind. To this end, it is essential to build a sustainable, multi-tiered universal social security system with integrated urban and rural coverage, and with clearly defined rights and responsibilities for all actors involved. ","Public Security 
The institutional mechanisms for public security will be improved, building on the principle that the people and their lives are above everything else, to implement the accountability and regulation systems for public security, and secure the people’s lives.","The tiered and classified social assistance system will be perfected, with the focus on urban and rural recipients of minimum subsistence allowances, people in special difficulties, and low-income families, so as to form a comprehensive pattern of assistance. A sound basic living assistance system and the special assistance system for medical treatment, education, housing, employment, and disaster victims, will be established, based on dynamic adjustments to criteria for assistance and the list of aid recipients. Temporary relief policies and measures will be taken to strengthen the functions of emergency social relief. We will coordinate the urban and rural relief systems, gradually allowing applicants to apply for and receive relief from the local governments of their permanent residence. Active actions will be taken to provide service-oriented social assistance and boost the government procurement of social assistance services. Philanthropy will be encouraged. Fiscal and taxation incentive policies will be improved, and standards will be set for online charity platforms to better management lottery and public welfare funds","III. Biosafety risk prevention and control 
The system for biosafety risk prevention, control, and governance will be established to enhance national capacity of biosafety governance. The national systems for risk monitoring and early warning and for emergency plan on risk prevention and control concerning biosafety need improvements so as to release information in a unified manner for major biosafety incidents. Stronger prevention and control measures need to be taken for animal and plant epidemics and alien invasive species at ports. Overall planning for biosafety infrastructure will be made, including building a system of national biosafety data centers, and better developing and managing the system of high-level biosafety laboratories. Regulation on biosafety resources will be intensified by formulating and improving the catalog of human genetic resources and biological resources, and establishing a sound risk assessment mechanism of biotechnology research and development. The biosafety law will be put into practice. China will strengthen international cooperation on biosafety and take an active part in the development of international biosafety rules.",SDGs: The 14th Five-Year Plan (2021-2025) for National Economic and Social Development and Vision 2035 of the People's Republic of China
P599,sdg01,sdg11,SDG-SDG,China,"Economy, Poverty & Equity",Objective,Align,Direct,TRUE,Both SDG-01 and SDG-11 aim to reduce the impact of humanitarian crises on vulnerable populations.,Emergency response versus stewardship controls,"Social assistance and charity
Our bottom line is to protect the most vulnerable, expand social security coverage, and improve protection mechanisms to prevent anyone from being left behind. To this end, it is essential to build a sustainable, multi-tiered universal social security system with integrated urban and rural coverage, and with clearly defined rights and responsibilities for all actors involved. ",National emergency management system,"The tiered and classified social assistance system will be perfected, with the focus on urban and rural recipients of minimum subsistence allowances, people in special difficulties, and low-income families, so as to form a comprehensive pattern of assistance. A sound basic living assistance system and the special assistance system for medical treatment, education, housing, employment, and disaster victims, will be established, based on dynamic adjustments to criteria for assistance and the list of aid recipients. Temporary relief policies and measures will be taken to strengthen the functions of emergency social relief. We will coordinate the urban and rural relief systems, gradually allowing applicants to apply for and receive relief from the local governments of their permanent residence. Active actions will be taken to provide service-oriented social assistance and boost the government procurement of social assistance services. Philanthropy will be encouraged. Fiscal and taxation incentive policies will be improved, and standards will be set for online charity platforms to better management lottery and public welfare funds","An emergency management system will be put into practice, featuring unified command, both specialized and regular operations, quick response, and coordination between the upper and lower levels, to systematically improve the national emergency management capacity and enhance the ability of disaster prevention, mitigation, resistance, and relief. Actions will be taken to improve the graded response mechanism at the central and local levels based on shared responsibilities with the local governments as main responsibility takers, and strengthen inter-regional and cross-basin coordination in disaster and incident emergency response. Based on investigation of potential risks and hidden dangers of disasters and incidents, we will implement public infrastructure safety and reinforcement projects and projects for enhancing the capacity of natural disaster prevention and control, and raise the standard for preventing and protecting against natural disasters including floods and droughts, bush fires and grassland fires, geological disasters, meteorological disasters, 
earthquakes, and so on. It is needed to build stronger national comprehensive fire brigades with enhanced rescue capacity for all types of disasters, and strengthen and improve the aviation emergency rescue system and capacity. Science-based adjustments will be made to the type, size, and structure of emergency supply reserves to improve the capacity of rapid deployment and emergency transportation. The system of information networks and comprehensive monitoring and early warning for emergency command will be built to ensure communication support for emergency rescue under extreme conditions. Catastrophe insurance are encouraged. ",SDGs: The 14th Five-Year Plan (2021-2025) for National Economic and Social Development and Vision 2035 of the People's Republic of China
P600,sdg01,sdg11,SDG-SDG,China,"Economy, Poverty & Equity",Implementation,Align,Indirect,TRUE,"The tiered social assistance networks created under SDG-01 provide ready-made channels for distributing emergency supplies, identifying vulnerable individuals, and coordinating relief--facilitating SDG-11's rapid response and resource deployment.",Emergency response versus stewardship controls,"Social assistance and charity
Our bottom line is to protect the most vulnerable, expand social security coverage, and improve protection mechanisms to prevent anyone from being left behind. To this end, it is essential to build a sustainable, multi-tiered universal social security system with integrated urban and rural coverage, and with clearly defined rights and responsibilities for all actors involved. ",National emergency management system,"The tiered and classified social assistance system will be perfected, with the focus on urban and rural recipients of minimum subsistence allowances, people in special difficulties, and low-income families, so as to form a comprehensive pattern of assistance. A sound basic living assistance system and the special assistance system for medical treatment, education, housing, employment, and disaster victims, will be established, based on dynamic adjustments to criteria for assistance and the list of aid recipients. Temporary relief policies and measures will be taken to strengthen the functions of emergency social relief. We will coordinate the urban and rural relief systems, gradually allowing applicants to apply for and receive relief from the local governments of their permanent residence. Active actions will be taken to provide service-oriented social assistance and boost the government procurement of social assistance services. Philanthropy will be encouraged. Fiscal and taxation incentive policies will be improved, and standards will be set for online charity platforms to better management lottery and public welfare funds","An emergency management system will be put into practice, featuring unified command, both specialized and regular operations, quick response, and coordination between the upper and lower levels, to systematically improve the national emergency management capacity and enhance the ability of disaster prevention, mitigation, resistance, and relief. Actions will be taken to improve the graded response mechanism at the central and local levels based on shared responsibilities with the local governments as main responsibility takers, and strengthen inter-regional and cross-basin coordination in disaster and incident emergency response. Based on investigation of potential risks and hidden dangers of disasters and incidents, we will implement public infrastructure safety and reinforcement projects and projects for enhancing the capacity of natural disaster prevention and control, and raise the standard for preventing and protecting against natural disasters including floods and droughts, bush fires and grassland fires, geological disasters, meteorological disasters, 
earthquakes, and so on. It is needed to build stronger national comprehensive fire brigades with enhanced rescue capacity for all types of disasters, and strengthen and improve the aviation emergency rescue system and capacity. Science-based adjustments will be made to the type, size, and structure of emergency supply reserves to improve the capacity of rapid deployment and emergency transportation. The system of information networks and comprehensive monitoring and early warning for emergency command will be built to ensure communication support for emergency rescue under extreme conditions. Catastrophe insurance are encouraged. ",SDGs: The 14th Five-Year Plan (2021-2025) for National Economic and Social Development and Vision 2035 of the People's Republic of China
P601,sdg03,sdg11,SDG-SDG,China,"Economy, Poverty & Equity",Objective,Align,Direct,TRUE,"Both policies seek to strengthen national capacities to prevent, detect and respond to threats that can trigger humanitarian crises - SDG-03 via biosafety risk governance and early warning for biological incidents, and SDG-11 via an all-hazard emergency management system for natural disasters.",Emergency response versus stewardship controls,"Public Security 
The institutional mechanisms for public security will be improved, building on the principle that the people and their lives are above everything else, to implement the accountability and regulation systems for public security, and secure the people’s lives.",National emergency management system,"III. Biosafety risk prevention and control 
The system for biosafety risk prevention, control, and governance will be established to enhance national capacity of biosafety governance. The national systems for risk monitoring and early warning and for emergency plan on risk prevention and control concerning biosafety need improvements so as to release information in a unified manner for major biosafety incidents. Stronger prevention and control measures need to be taken for animal and plant epidemics and alien invasive species at ports. Overall planning for biosafety infrastructure will be made, including building a system of national biosafety data centers, and better developing and managing the system of high-level biosafety laboratories. Regulation on biosafety resources will be intensified by formulating and improving the catalog of human genetic resources and biological resources, and establishing a sound risk assessment mechanism of biotechnology research and development. The biosafety law will be put into practice. China will strengthen international cooperation on biosafety and take an active part in the development of international biosafety rules.","An emergency management system will be put into practice, featuring unified command, both specialized and regular operations, quick response, and coordination between the upper and lower levels, to systematically improve the national emergency management capacity and enhance the ability of disaster prevention, mitigation, resistance, and relief. Actions will be taken to improve the graded response mechanism at the central and local levels based on shared responsibilities with the local governments as main responsibility takers, and strengthen inter-regional and cross-basin coordination in disaster and incident emergency response. Based on investigation of potential risks and hidden dangers of disasters and incidents, we will implement public infrastructure safety and reinforcement projects and projects for enhancing the capacity of natural disaster prevention and control, and raise the standard for preventing and protecting against natural disasters including floods and droughts, bush fires and grassland fires, geological disasters, meteorological disasters, 
earthquakes, and so on. It is needed to build stronger national comprehensive fire brigades with enhanced rescue capacity for all types of disasters, and strengthen and improve the aviation emergency rescue system and capacity. Science-based adjustments will be made to the type, size, and structure of emergency supply reserves to improve the capacity of rapid deployment and emergency transportation. The system of information networks and comprehensive monitoring and early warning for emergency command will be built to ensure communication support for emergency rescue under extreme conditions. Catastrophe insurance are encouraged. ",SDGs: The 14th Five-Year Plan (2021-2025) for National Economic and Social Development and Vision 2035 of the People's Republic of China
P602,sdg03,sdg11,SDG-SDG,China,"Economy, Poverty & Equity",Implementation,Align,Direct,TRUE,"The biosafety risk prevention infrastructure (early warning systems, unified incident reporting, emergency plans, high-level laboratories and data centers) can be integrated into the broader emergency management command, communication and logistics networks.",Emergency response versus stewardship controls,"Public Security 
The institutional mechanisms for public security will be improved, building on the principle that the people and their lives are above everything else, to implement the accountability and regulation systems for public security, and secure the people’s lives.",National emergency management system,"III. Biosafety risk prevention and control 
The system for biosafety risk prevention, control, and governance will be established to enhance national capacity of biosafety governance. The national systems for risk monitoring and early warning and for emergency plan on risk prevention and control concerning biosafety need improvements so as to release information in a unified manner for major biosafety incidents. Stronger prevention and control measures need to be taken for animal and plant epidemics and alien invasive species at ports. Overall planning for biosafety infrastructure will be made, including building a system of national biosafety data centers, and better developing and managing the system of high-level biosafety laboratories. Regulation on biosafety resources will be intensified by formulating and improving the catalog of human genetic resources and biological resources, and establishing a sound risk assessment mechanism of biotechnology research and development. The biosafety law will be put into practice. China will strengthen international cooperation on biosafety and take an active part in the development of international biosafety rules.","An emergency management system will be put into practice, featuring unified command, both specialized and regular operations, quick response, and coordination between the upper and lower levels, to systematically improve the national emergency management capacity and enhance the ability of disaster prevention, mitigation, resistance, and relief. Actions will be taken to improve the graded response mechanism at the central and local levels based on shared responsibilities with the local governments as main responsibility takers, and strengthen inter-regional and cross-basin coordination in disaster and incident emergency response. Based on investigation of potential risks and hidden dangers of disasters and incidents, we will implement public infrastructure safety and reinforcement projects and projects for enhancing the capacity of natural disaster prevention and control, and raise the standard for preventing and protecting against natural disasters including floods and droughts, bush fires and grassland fires, geological disasters, meteorological disasters, 
earthquakes, and so on. It is needed to build stronger national comprehensive fire brigades with enhanced rescue capacity for all types of disasters, and strengthen and improve the aviation emergency rescue system and capacity. Science-based adjustments will be made to the type, size, and structure of emergency supply reserves to improve the capacity of rapid deployment and emergency transportation. The system of information networks and comprehensive monitoring and early warning for emergency command will be built to ensure communication support for emergency rescue under extreme conditions. Catastrophe insurance are encouraged. ",SDGs: The 14th Five-Year Plan (2021-2025) for National Economic and Social Development and Vision 2035 of the People's Republic of China
P603,sdg01,sdg02,SDG-SDG,China,"Economy, Poverty & Equity",Objective,Align,Direct,TRUE,"Both policies seek to improve the socio-economic status of rural populations--Policy 1 by consolidating poverty alleviation gains and providing continued support to vulnerable groups, and Policy 2 by diversifying rural economies and creating new income streams.",Equity in access versus regulatory enforcement,"Rural Revitalization to Be Pursued by Building on Success in Poverty Alleviation 
Support will continue to be provided to rural low-income groups and underdeveloped areas. The level of government funding for this purpose will stay stable and assistance programs will continue to be implemented even after the target communities have been lifted out of poverty, a move that is intended to keep the momentum going and prevent the vulnerable from slipping back into poverty. ",Diversification of the rural economy,"I. Building on poverty alleviation achievements 
We will work to meet the requirements of “continuing poverty alleviation responsibility, policies, and assistance and oversight for areas that have been removed from the poverty list”, and establish a robust long-term mechanism for consolidating and expanding poverty 
BACK TO 
TOP alleviation achievements. We will improve the dynamic monitoring and targeted assistance mechanisms for preventing people from falling back into poverty, regularly monitor groups who are liable to return to or fall into poverty, establish a sound mechanism for rapid detection and response, and bring people who can potentially return to poverty into the scope of assistance policies in a timely manner, considering different types at different levels. We will improve the social security and assistance system in rural areas, and improve the mechanism for regular assistance of low-income rural residents. For areas that have been lifted out of poverty, we will continue to implement the policy for intra-provincial trading of the surplus quotas under the policy of linking newly-added cropland quotas with the amount of land used for urban and rural construction, and adjust and improve the policy of inter-provincial trading of the same. We will step up the management and supervision of funds and assets in poverty alleviation projects, and promote the sustainable development of characteristic industries. By rolling out work-relief programs, we will drive low-income population to get jobs locally or in nearby regions. We will effectively provide follow-up support for people relocated from inhospitable areas, and promote a new type of urbanization in large-scale resettlement areas. 
II. A continued upward trajectory for communities recently out of poverty 
We will encourage the areas that have got rid of poverty to develop featured farming and breeding industries, extensively organize activities to ensure better linkage between production and sales of agricultural products, and expand the assistance by boosting the consumption of goods produced by the areas lifted out of poverty. A number of counties lifted out of poverty in western China will be designated as key counties for receiving assistance for rural revitalization and receive focused support in terms of government funding, financial services, land, manpower, infrastructure, and public services, so as to increase their capacity to consolidate their achievements in poverty alleviation and boost internal forces driving development. We will carry on and improve the mechanisms for collaboration between the eastern and western regions, for providing paired assistance, for designated assistance by central departments and organizations, and for the participation of non-governmental entities. We will adjust and improve the collaboration between eastern and western regions in offering paired assistance and the way of offering such assistance and give greater emphasis to industrial and labor service cooperation. ","We will develop county economy, promote the integrated development of primary, secondary, and tertiary industries in rural areas, extend the agricultural industrial chain, and develop featured modern industries to ensure rural prosperity. We will boost the combination of farming, breeding, and processing and the reengineering of industrial chain, advance the development of agricultural products processing industry and agricultural producer service industry, and expand characteristic industries such as leisure agriculture, rural tourism, and homestay economy. We will step up the development of storage and preservation as well as cold chain logistics facilities for agricultural products, improve rural property rights trading, commercial circulation, inspection, testing, and certification platforms, as well as smart standard plants and other facilities, and encourage the development of clusters in rural secondary and tertiary industries. We will improve the interest linkage mechanism, and ensure farmers share more benefits from the growth of industries by “turning resources into assets, funds into shares, and farmers into shareholders”. ",SDGs: The 14th Five-Year Plan (2021-2025) for National Economic and Social Development and Vision 2035 of the People's Republic of China
P604,sdg01,sdg02,SDG-SDG,China,"Economy, Poverty & Equity",Implementation,Align,Indirect,TRUE,"Policy 1's mechanisms for stable funding, dynamic monitoring, social security, and infrastructure support create a secure foundation for the industrial diversification efforts of Policy 2.",Equity in access versus regulatory enforcement,"Rural Revitalization to Be Pursued by Building on Success in Poverty Alleviation 
Support will continue to be provided to rural low-income groups and underdeveloped areas. The level of government funding for this purpose will stay stable and assistance programs will continue to be implemented even after the target communities have been lifted out of poverty, a move that is intended to keep the momentum going and prevent the vulnerable from slipping back into poverty. ",Diversification of the rural economy,"I. Building on poverty alleviation achievements 
We will work to meet the requirements of “continuing poverty alleviation responsibility, policies, and assistance and oversight for areas that have been removed from the poverty list”, and establish a robust long-term mechanism for consolidating and expanding poverty 
BACK TO 
TOP alleviation achievements. We will improve the dynamic monitoring and targeted assistance mechanisms for preventing people from falling back into poverty, regularly monitor groups who are liable to return to or fall into poverty, establish a sound mechanism for rapid detection and response, and bring people who can potentially return to poverty into the scope of assistance policies in a timely manner, considering different types at different levels. We will improve the social security and assistance system in rural areas, and improve the mechanism for regular assistance of low-income rural residents. For areas that have been lifted out of poverty, we will continue to implement the policy for intra-provincial trading of the surplus quotas under the policy of linking newly-added cropland quotas with the amount of land used for urban and rural construction, and adjust and improve the policy of inter-provincial trading of the same. We will step up the management and supervision of funds and assets in poverty alleviation projects, and promote the sustainable development of characteristic industries. By rolling out work-relief programs, we will drive low-income population to get jobs locally or in nearby regions. We will effectively provide follow-up support for people relocated from inhospitable areas, and promote a new type of urbanization in large-scale resettlement areas. 
II. A continued upward trajectory for communities recently out of poverty 
We will encourage the areas that have got rid of poverty to develop featured farming and breeding industries, extensively organize activities to ensure better linkage between production and sales of agricultural products, and expand the assistance by boosting the consumption of goods produced by the areas lifted out of poverty. A number of counties lifted out of poverty in western China will be designated as key counties for receiving assistance for rural revitalization and receive focused support in terms of government funding, financial services, land, manpower, infrastructure, and public services, so as to increase their capacity to consolidate their achievements in poverty alleviation and boost internal forces driving development. We will carry on and improve the mechanisms for collaboration between the eastern and western regions, for providing paired assistance, for designated assistance by central departments and organizations, and for the participation of non-governmental entities. We will adjust and improve the collaboration between eastern and western regions in offering paired assistance and the way of offering such assistance and give greater emphasis to industrial and labor service cooperation. ","We will develop county economy, promote the integrated development of primary, secondary, and tertiary industries in rural areas, extend the agricultural industrial chain, and develop featured modern industries to ensure rural prosperity. We will boost the combination of farming, breeding, and processing and the reengineering of industrial chain, advance the development of agricultural products processing industry and agricultural producer service industry, and expand characteristic industries such as leisure agriculture, rural tourism, and homestay economy. We will step up the development of storage and preservation as well as cold chain logistics facilities for agricultural products, improve rural property rights trading, commercial circulation, inspection, testing, and certification platforms, as well as smart standard plants and other facilities, and encourage the development of clusters in rural secondary and tertiary industries. We will improve the interest linkage mechanism, and ensure farmers share more benefits from the growth of industries by “turning resources into assets, funds into shares, and farmers into shareholders”. ",SDGs: The 14th Five-Year Plan (2021-2025) for National Economic and Social Development and Vision 2035 of the People's Republic of China
P605,sdg01,sdg04,SDG-SDG,China,"Economy, Poverty & Equity",Objective,Align,Direct,TRUE,"Both SDG-01 and SDG-04 aim to improve individual socio-demographic conditions--SDG-01 by lifting and stabilizing rural incomes and livelihoods, SDG-04 by expanding access to and quality of education.",Equity in access versus regulatory enforcement,"Rural Revitalization to Be Pursued by Building on Success in Poverty Alleviation 
Support will continue to be provided to rural low-income groups and underdeveloped areas. The level of government funding for this purpose will stay stable and assistance programs will continue to be implemented even after the target communities have been lifted out of poverty, a move that is intended to keep the momentum going and prevent the vulnerable from slipping back into poverty. ","Quality Education for All 
Guided by the Party’s education policy, development of education remains high on our agenda. Education includes character education and civil education that cultivates a sense of social responsibility in addition to practical skills to pave the way for moral, intellectual, and physical growth, so that our students will grow into effective contributors to socialist prosperity. ","I. Building on poverty alleviation achievements 
We will work to meet the requirements of “continuing poverty alleviation responsibility, policies, and assistance and oversight for areas that have been removed from the poverty list”, and establish a robust long-term mechanism for consolidating and expanding poverty 
BACK TO 
TOP alleviation achievements. We will improve the dynamic monitoring and targeted assistance mechanisms for preventing people from falling back into poverty, regularly monitor groups who are liable to return to or fall into poverty, establish a sound mechanism for rapid detection and response, and bring people who can potentially return to poverty into the scope of assistance policies in a timely manner, considering different types at different levels. We will improve the social security and assistance system in rural areas, and improve the mechanism for regular assistance of low-income rural residents. For areas that have been lifted out of poverty, we will continue to implement the policy for intra-provincial trading of the surplus quotas under the policy of linking newly-added cropland quotas with the amount of land used for urban and rural construction, and adjust and improve the policy of inter-provincial trading of the same. We will step up the management and supervision of funds and assets in poverty alleviation projects, and promote the sustainable development of characteristic industries. By rolling out work-relief programs, we will drive low-income population to get jobs locally or in nearby regions. We will effectively provide follow-up support for people relocated from inhospitable areas, and promote a new type of urbanization in large-scale resettlement areas. 
II. A continued upward trajectory for communities recently out of poverty 
We will encourage the areas that have got rid of poverty to develop featured farming and breeding industries, extensively organize activities to ensure better linkage between production and sales of agricultural products, and expand the assistance by boosting the consumption of goods produced by the areas lifted out of poverty. A number of counties lifted out of poverty in western China will be designated as key counties for receiving assistance for rural revitalization and receive focused support in terms of government funding, financial services, land, manpower, infrastructure, and public services, so as to increase their capacity to consolidate their achievements in poverty alleviation and boost internal forces driving development. We will carry on and improve the mechanisms for collaboration between the eastern and western regions, for providing paired assistance, for designated assistance by central departments and organizations, and for the participation of non-governmental entities. We will adjust and improve the collaboration between eastern and western regions in offering paired assistance and the way of offering such assistance and give greater emphasis to industrial and labor service cooperation. ","I. Equitable access to basic public education 
II. Adaptable vocational and technical education
III. Quality higher education 
IV. Teacher competencies 
V. Education reform ",SDGs: The 14th Five-Year Plan (2021-2025) for National Economic and Social Development and Vision 2035 of the People's Republic of China
P606,sdg01,sdg04,SDG-SDG,China,"Economy, Poverty & Equity",Implementation,Align,Indirect,TRUE,"Rural revitalization programs under SDG-01 bring increased government funding, infrastructure improvements, and community services to underdeveloped areas, which facilitate the expansion and quality of schools, vocational training sites, and teacher deployment under SDG-04.",Equity in access versus regulatory enforcement,"Rural Revitalization to Be Pursued by Building on Success in Poverty Alleviation 
Support will continue to be provided to rural low-income groups and underdeveloped areas. The level of government funding for this purpose will stay stable and assistance programs will continue to be implemented even after the target communities have been lifted out of poverty, a move that is intended to keep the momentum going and prevent the vulnerable from slipping back into poverty. ","Quality Education for All 
Guided by the Party’s education policy, development of education remains high on our agenda. Education includes character education and civil education that cultivates a sense of social responsibility in addition to practical skills to pave the way for moral, intellectual, and physical growth, so that our students will grow into effective contributors to socialist prosperity. ","I. Building on poverty alleviation achievements 
We will work to meet the requirements of “continuing poverty alleviation responsibility, policies, and assistance and oversight for areas that have been removed from the poverty list”, and establish a robust long-term mechanism for consolidating and expanding poverty 
BACK TO 
TOP alleviation achievements. We will improve the dynamic monitoring and targeted assistance mechanisms for preventing people from falling back into poverty, regularly monitor groups who are liable to return to or fall into poverty, establish a sound mechanism for rapid detection and response, and bring people who can potentially return to poverty into the scope of assistance policies in a timely manner, considering different types at different levels. We will improve the social security and assistance system in rural areas, and improve the mechanism for regular assistance of low-income rural residents. For areas that have been lifted out of poverty, we will continue to implement the policy for intra-provincial trading of the surplus quotas under the policy of linking newly-added cropland quotas with the amount of land used for urban and rural construction, and adjust and improve the policy of inter-provincial trading of the same. We will step up the management and supervision of funds and assets in poverty alleviation projects, and promote the sustainable development of characteristic industries. By rolling out work-relief programs, we will drive low-income population to get jobs locally or in nearby regions. We will effectively provide follow-up support for people relocated from inhospitable areas, and promote a new type of urbanization in large-scale resettlement areas. 
II. A continued upward trajectory for communities recently out of poverty 
We will encourage the areas that have got rid of poverty to develop featured farming and breeding industries, extensively organize activities to ensure better linkage between production and sales of agricultural products, and expand the assistance by boosting the consumption of goods produced by the areas lifted out of poverty. A number of counties lifted out of poverty in western China will be designated as key counties for receiving assistance for rural revitalization and receive focused support in terms of government funding, financial services, land, manpower, infrastructure, and public services, so as to increase their capacity to consolidate their achievements in poverty alleviation and boost internal forces driving development. We will carry on and improve the mechanisms for collaboration between the eastern and western regions, for providing paired assistance, for designated assistance by central departments and organizations, and for the participation of non-governmental entities. We will adjust and improve the collaboration between eastern and western regions in offering paired assistance and the way of offering such assistance and give greater emphasis to industrial and labor service cooperation. ","I. Equitable access to basic public education 
II. Adaptable vocational and technical education
III. Quality higher education 
IV. Teacher competencies 
V. Education reform ",SDGs: The 14th Five-Year Plan (2021-2025) for National Economic and Social Development and Vision 2035 of the People's Republic of China
